date,open,high,low,close,volume,day_vwap
2024-01-02,1138.6,1141.8,1131.0,1132.6,9039,1135.9575284876646
2024-01-03,1130.8,1142.2,1126.6,1142.2,8037,1132.315358135291
2024-01-04,1146.6,1171.0,1145.5,1158.8,11151,1156.5867605296985
2024-01-05,1156.7,1163.8,1154.2,1163.2,9720,1158.7748148148148
2024-01-08,1166.1,1173.2,1160.6,1165.8,9220,1167.2343853940708
2024-01-09,1165.1,1165.9,1159.0,1164.0,7664,1162.843223729993
2024-01-10,1162.5,1170.8,1160.1,1164.0,8390,1164.3839332538735
2024-01-11,1164.9,1176.2,1162.9,1165.1,8878,1169.982244499512
2024-01-12,1166.0,1169.3,1151.0,1165.7,10703,1160.4583294403437
2024-01-15,1171.2,1175.3,1163.7,1163.7,9664,1170.3633450607065
2024-01-16,1158.1,1170.0,1157.7,1170.0,8733,1161.651463796328
2024-01-17,1171.7,1179.6,1164.4,1165.1,9557,1172.9372048411287
2024-01-18,1167.6,1177.3,1165.8,1172.8,7957,1169.878630974823
2024-01-19,1181.4,1188.3,1180.4,1187.8,8012,1184.3594025628224
2024-01-22,1194.5,1196.2,1186.2,1195.3,7989,1190.945742062002
2024-01-23,1193.0,1194.5,1181.8,1184.2,8364,1188.7789135979597
2024-01-24,1183.3,1190.4,1179.1,1181.7,8192,1185.6055297851562
2024-01-25,1181.4,1183.7,1175.0,1182.8,7834,1179.9175729725127
2024-01-26,1182.1,1188.7,1181.8,1188.0,8046,1185.8852556135553
2024-01-29,1189.5,1189.5,1181.7,1182.0,6976,1185.6394352064221
2024-01-30,1184.1,1187.2,1182.7,1187.0,5417,1183.8672697064796
2024-01-31,1186.8,1188.5,1165.7,1166.2,9071,1180.3698599933855
2024-02-01,1168.6,1180.4,1168.6,1178.0,9534,1175.2188448360255
2024-02-02,1179.2,1182.3,1174.9,1176.8,7930,1179.2005422446407
2024-02-05,1182.7,1210.0,1181.3,1203.9,9894,1190.8498618691463
2024-02-06,1201.7,1205.8,1200.8,1202.6,7995,1203.5209631019386
2024-02-07,1206.3,1219.6,1205.5,1217.1,9783,1211.0176087771304
2024-02-15,1224.7,1227.6,1218.0,1218.7,7589,1222.308709974964
2024-02-16,1226.4,1232.0,1222.7,1232.0,8791,1226.5531414704433
2024-02-19,1231.5,1243.8,1230.6,1243.8,9587,1235.3982267654117
2024-02-20,1240.9,1243.6,1237.8,1241.1,9095,1240.7538207806488
2024-02-21,1236.1,1248.3,1235.4,1243.4,10614,1240.5778123233465
2024-02-22,1240.3,1242.5,1236.0,1239.3,9209,1239.5749773772034
2024-02-23,1240.8,1253.9,1225.6,1227.5,11539,1245.1937805124649
2024-02-26,1226.1,1231.4,1222.2,1229.6,9826,1226.7508243435782
2024-02-27,1230.5,1242.5,1230.5,1242.5,10415,1236.4262345975355
2024-02-28,1242.6,1262.1,1241.6,1262.1,11171,1248.3587384000239
2024-02-29,1266.2,1271.4,1255.3,1263.4,10907,1264.273429907399
2024-03-01,1264.6,1268.4,1259.2,1267.4,10954,1263.3007151116792
2024-03-04,1270.2,1272.0,1263.5,1267.3,10443,1267.9594912062307
2024-03-05,1266.7,1278.1,1264.2,1277.9,9535,1267.1558748470545
2024-03-06,1277.4,1282.0,1256.0,1266.9,10733,1273.2679617379422
2024-03-07,1267.2,1278.0,1264.4,1273.2,10459,1270.1288364088346
2024-03-08,1274.7,1276.0,1249.5,1249.9,13488,1259.79287514828
2024-03-11,1251.0,1254.5,1231.1,1232.0,12443,1249.5978488574567
2024-03-12,1232.3,1243.0,1232.0,1238.5,10913,1236.5876355417088
2024-03-13,1241.1,1273.7,1240.4,1270.7,12138,1250.4656203657933
2024-03-14,1271.5,1273.0,1252.7,1261.2,11681,1266.9451473903491
2024-03-15,1256.8,1266.5,1242.1,1260.0,11995,1252.7706738918994
2024-03-18,1258.0,1259.2,1218.9,1237.0,12511,1236.4018197319692
2024-03-19,1231.6,1235.3,1224.4,1230.1,11365,1230.5077430708316
2024-03-20,1232.7,1262.0,1228.0,1259.7,11298,1242.955511299935
2024-03-21,1261.1,1275.7,1261.1,1275.2,10188,1268.0814160450202
2024-03-22,1285.6,1294.0,1275.7,1283.8,11117,1285.4003538124796
2024-03-25,1281.2,1287.6,1267.5,1271.2,11206,1280.2441549170087
2024-03-26,1267.7,1290.3,1267.7,1287.5,10014,1276.9181379402169
2024-03-27,1286.5,1289.4,1279.7,1285.0,9786,1284.7633728455617
2024-03-28,1298.0,1305.8,1295.0,1305.0,10902,1298.9929187305083
2024-03-29,1306.7,1306.7,1295.9,1298.6,10066,1299.2748923769786
2024-04-01,1293.0,1299.4,1283.2,1292.5,11103,1291.5753009697078
2024-04-02,1282.4,1291.9,1274.3,1289.4,11066,1281.1723447195614
2024-04-03,1284.6,1288.0,1269.4,1272.2,10602,1282.005684462051
2024-04-04,1275.6,1280.3,1267.0,1268.9,10486,1274.7604742831713
2024-04-05,1253.2,1264.8,1252.0,1257.2,9952,1257.6392651393355
2024-04-08,1255.1,1259.4,1247.2,1252.2,10860,1253.135475751995
2024-04-09,1258.0,1264.3,1254.2,1263.3,9755,1258.1236664958142
2024-04-10,1264.8,1272.9,1259.7,1260.0,10081,1268.4216215322554
2024-04-11,1251.1,1264.8,1251.1,1261.5,9539,1257.73384002516
2024-04-12,1265.7,1283.9,1260.1,1282.3,11883,1267.215705910404
2024-04-15,1281.7,1286.7,1232.6,1236.5,13077,1274.5578241696617
2024-04-16,1234.5,1237.3,1213.2,1228.4,12169,1228.7227518010245
2024-04-17,1233.6,1233.9,1206.8,1214.6,11845,1226.1428253834247
2024-04-19,1201.4,1211.1,1192.3,1198.4,12617,1199.337969934744
2024-04-22,1201.0,1215.3,1200.4,1206.6,12404,1207.7977372890466
2024-04-23,1209.3,1212.2,1188.7,1190.3,11476,1205.9323922388753
2024-04-24,1208.0,1234.5,1207.1,1230.8,10146,1221.7142420658388
