entry_z,exit_z,stop_mult,cooldown_bars,n_trades,win_rate_%,mean_pnl_pts,total_pnl_pts,sharpe,sortino,max_drawdown,profit_factor
2.0,0.0,4.0,5,1826,37.68,-0.9192,-1678.5343,-8.8055,-15.3845,-1685.972,0.5843
2.0,0.25,4.0,5,1837,36.04,-0.9591,-1761.879,-9.4818,-17.083,-1769.6458,0.5624
2.0,0.0,4.0,2,1987,37.29,-0.9507,-1889.0362,-9.5655,-16.6401,-1893.4658,0.5712
2.0,0.5,4.0,5,1858,34.55,-0.9436,-1753.2237,-9.6986,-18.2775,-1767.1471,0.5575
2.0,0.0,4.0,0,2064,37.06,-0.9896,-2042.4446,-10.1753,-17.6698,-2046.8747,0.5584
2.0,0.25,4.0,2,2019,35.81,-0.9847,-1988.152,-10.2826,-18.5568,-1992.5822,0.552
2.0,0.5,4.0,2,2063,34.46,-0.9786,-2018.9547,-10.6622,-20.1253,-2023.3847,0.5452
2.0,0.25,4.0,0,2102,35.59,-1.0113,-2125.8213,-10.8144,-19.4263,-2130.252,0.5429
1.5,0.0,4.0,5,2205,35.06,-0.9952,-2194.5012,-10.9322,-19.3362,-2198.931,0.5429
2.0,0.5,4.0,0,2147,34.19,-1.0015,-2150.124,-11.1866,-20.9599,-2154.5543,0.5363
1.5,0.25,4.0,5,2240,33.44,-1.0029,-2246.4211,-11.4648,-21.0486,-2250.8508,0.5312
2.0,0.0,3.0,5,2029,39.48,-1.0424,-2115.0433,-11.4813,-17.5142,-2119.1134,0.5066
1.5,0.5,4.0,5,2268,31.92,-0.9788,-2220.0293,-11.7486,-22.5946,-2230.275,0.5255
1.0,0.0,4.0,5,2489,33.39,-0.9671,-2407.0001,-12.016,-22.1772,-2411.4283,0.5331
2.0,0.25,3.0,5,2036,37.72,-1.0712,-2180.904,-12.1536,-19.204,-2184.9755,0.4901
1.5,0.0,4.0,2,2536,34.82,-1.0257,-2601.2106,-12.3297,-21.822,-2605.6399,0.5277
2.0,0.5,3.0,5,2054,36.17,-1.0464,-2149.2596,-12.3432,-20.4563,-2153.3308,0.4892
2.0,0.0,3.0,2,2212,39.01,-1.0764,-2381.0452,-12.3615,-18.8053,-2385.1147,0.4959
1.0,0.25,4.0,5,2531,31.37,-0.9775,-2474.0054,-12.6593,-24.3985,-2478.4351,0.5195
0.5,0.0,4.0,5,2701,31.32,-0.9664,-2610.2973,-12.8582,-23.2616,-2614.7248,0.5211
2.0,0.25,3.0,2,2238,37.49,-1.0901,-2439.6729,-12.9947,-20.5935,-2443.7434,0.4841
2.0,0.0,3.0,0,2299,38.84,-1.1069,-2544.6866,-13.0014,-19.7383,-2548.7572,0.4854
1.5,0.25,4.0,2,2608,33.24,-1.0416,-2716.6039,-13.1519,-24.2614,-2721.0334,0.5129
2.0,0.5,3.0,2,2279,35.94,-1.079,-2458.9669,-13.4221,-22.1639,-2463.0374,0.4788
1.5,0.0,4.0,0,2732,34.52,-1.0667,-2914.0967,-13.4222,-23.7343,-2918.5254,0.5125
1.0,0.5,4.0,5,2590,29.23,-0.9862,-2554.1889,-13.57,-27.2691,-2558.6191,0.4996
2.0,0.25,3.0,0,2332,37.44,-1.1163,-2603.1693,-13.598,-21.4342,-2607.2408,0.4753
0.5,0.25,4.0,5,2738,29.18,-0.9816,-2687.7211,-13.7292,-26.1239,-2692.15,0.5025
2.0,0.5,3.0,0,2372,35.79,-1.1052,-2621.6214,-14.0553,-23.0738,-2625.6925,0.4694
1.5,0.0,3.0,5,2446,37.08,-1.1071,-2708.0725,-14.2787,-21.9885,-2712.1432,0.4647
1.5,0.5,4.0,2,2698,31.39,-1.0688,-2883.5588,-14.3571,-27.5093,-2887.9895,0.4897
1.5,0.25,4.0,0,2837,32.75,-1.0893,-3090.4055,-14.5419,-26.7596,-3094.8352,0.4936
1.0,0.0,4.0,2,3013,32.66,-1.0429,-3142.2173,-14.6013,-27.1329,-3146.6473,0.5019
1.5,0.25,3.0,5,2477,35.53,-1.0922,-2705.2956,-14.712,-23.7518,-2709.366,0.4602
1.5,0.5,3.0,5,2499,33.81,-1.0635,-2657.6364,-14.9471,-25.1566,-2661.7078,0.4594
1.0,0.0,3.0,5,2752,34.45,-1.0863,-2989.443,-15.4451,-24.4055,-2993.5127,0.4573
1.5,0.0,3.0,2,2818,36.73,-1.1178,-3149.9527,-15.5416,-23.8795,-3154.0225,0.4606
1.5,0.5,4.0,0,2941,30.98,-1.0986,-3231.113,-15.6332,-29.9166,-3235.5436,0.4763
1.0,0.25,4.0,2,3133,30.83,-1.0544,-3303.5003,-15.7737,-30.6371,-3307.9302,0.4844
2.0,0.0,2.0,5,2455,38.41,-1.1204,-2750.6525,-15.9395,-20.3213,-2751.6819,0.4015
1.0,0.25,3.0,5,2795,32.92,-1.0914,-3050.5664,-16.3,-26.8433,-3054.6373,0.4439
2.0,0.25,2.0,5,2461,37.3,-1.127,-2773.4297,-16.5719,-21.8438,-2774.4608,0.393
0.5,0.0,3.0,5,2973,32.96,-1.0678,-3174.4749,-16.5754,-26.5782,-3178.5443,0.4471
1.5,0.25,3.0,2,2890,35.09,-1.134,-3277.25,-16.5775,-26.639,-3281.3202,0.4465
1.5,0.0,3.0,0,3049,36.44,-1.1505,-3507.7939,-16.8074,-26.1982,-3511.8637,0.4481
0.5,0.0,4.0,2,3421,29.87,-1.0921,-3736.0843,-16.9361,-30.7846,-3740.5128,0.4689
1.0,0.5,3.0,5,2844,31.01,-1.0768,-3062.4475,-16.9513,-29.1667,-3066.5198,0.4361
2.0,0.0,2.0,2,2682,38.03,-1.1458,-3073.0558,-16.9571,-21.5291,-3074.0853,0.3944
1.0,0.0,4.0,0,3497,31.91,-1.0943,-3826.7016,-16.9782,-31.3983,-3831.1299,0.4778
2.0,0.5,2.0,5,2468,35.9,-1.1151,-2752.0647,-17.0336,-23.3439,-2753.0952,0.3899
0.5,0.25,3.0,5,3008,31.18,-1.0783,-3243.5078,-17.553,-29.2477,-3247.5791,0.4308
2.0,0.0,2.0,0,2774,38.1,-1.1641,-3229.1756,-17.5579,-22.2852,-3230.2055,0.3876
2.0,0.25,2.0,2,2704,37.13,-1.1445,-3094.6586,-17.5787,-23.1367,-3095.689,0.3897
1.0,0.5,4.0,2,3302,28.29,-1.0909,-3602.1057,-17.6205,-35.2494,-3606.536,0.4541
1.5,0.5,3.0,2,2969,33.14,-1.1458,-3401.8051,-17.7477,-29.6706,-3405.8768,0.4298
1.0,0.0,3.0,2,3355,34.52,-1.1178,-3750.1617,-17.8096,-28.0876,-3754.2322,0.4425
1.5,0.25,3.0,0,3143,34.65,-1.1614,-3650.4113,-17.953,-29.2353,-3654.4818,0.4336
2.0,0.25,2.0,0,2805,37.18,-1.1584,-3249.3323,-18.1844,-23.8918,-3250.3629,0.3833
0.5,0.25,4.0,2,3575,28.0,-1.0954,-3916.192,-18.2003,-34.5026,-3920.6234,0.451
2.0,0.5,2.0,2,2732,35.91,-1.1459,-3130.5026,-18.2605,-24.8503,-3131.5324,0.3828
1.0,0.25,4.0,0,3693,29.79,-1.1075,-4090.0525,-18.5593,-35.9206,-4094.4823,0.4574
2.0,0.5,2.0,0,2836,35.86,-1.1604,-3290.949,-18.9507,-25.6504,-3291.9786,0.375
1.5,0.5,3.0,0,3230,32.82,-1.1622,-3753.966,-19.0611,-32.1094,-3758.0378,0.4199
1.5,0.0,2.0,5,2954,35.92,-1.1839,-3497.2491,-19.3539,-24.9713,-3498.2777,0.3651
1.0,0.25,3.0,2,3476,32.48,-1.1461,-3983.9118,-19.4609,-32.0853,-3987.9833,0.421
1.5,0.25,2.0,5,2975,34.86,-1.1557,-3438.2189,-19.6927,-26.4429,-3439.2475,0.3666
1.0,0.0,3.0,0,3900,33.72,-1.1552,-4505.1974,-20.4267,-32.5493,-4509.2669,0.4227
1.0,0.5,4.0,0,3911,27.36,-1.1224,-4389.8706,-20.4639,-41.0168,-4394.2993,0.4331
0.5,0.0,3.0,2,3811,31.91,-1.1547,-4400.533,-20.5597,-32.208,-4404.6022,0.4136
1.5,0.5,2.0,5,2993,33.18,-1.1501,-3442.2089,-20.6262,-28.801,-3443.2377,0.3572
0.5,0.0,4.0,0,4388,28.65,-1.1162,-4897.95,-20.7937,-37.8472,-4902.3788,0.4424
1.0,0.0,2.0,5,3323,34.07,-1.158,-3848.1157,-20.8275,-27.8514,-3849.1412,0.363
1.5,0.0,2.0,2,3422,35.51,-1.1937,-4084.8444,-21.1011,-27.2123,-4085.8726,0.362
1.0,0.5,3.0,2,3627,29.91,-1.1619,-4214.1738,-21.1857,-36.0703,-4218.246,0.4001
1.0,0.25,2.0,5,3354,33.09,-1.1402,-3824.2547,-21.4108,-29.5996,-3825.2814,0.3594
1.5,0.25,2.0,2,3485,34.4,-1.191,-4150.6786,-22.0753,-29.6101,-4151.707,0.3563
0.5,0.25,3.0,2,3966,29.63,-1.1711,-4644.5748,-22.3015,-36.4805,-4648.6479,0.3931
1.5,0.0,2.0,0,3673,35.26,-1.2181,-4474.0105,-22.4032,-29.1263,-4475.0389,0.3524
0.5,0.0,2.0,5,3559,32.34,-1.1581,-4121.7892,-22.4219,-30.2066,-4122.8146,0.3493
0.5,0.25,4.0,0,4637,26.14,-1.1282,-5231.3263,-22.5971,-42.0137,-5235.7568,0.4206
