date,direction,entry_px,exit_px,target,stop_level,gap_z,pnl_pts,exit_reason
2022-01-18,long,1475.5,1482.0,1510.63,1458.88,-2.1136,5.06,day_end
2022-01-26,short,1510.5,1519.3,1476.78,1527.23,2.0155,-10.24,day_end
2022-02-23,short,1526.5,1529.8,1511.34,1538.33,1.2811,-4.74,day_end
2022-03-07,long,1496.2,1504.0,1514.41,1486.76,-1.9283,6.36,day_end
2022-03-22,short,1498.9,1500.6,1484.45,1508.79,1.4615,-3.14,day_end
2022-04-04,short,1529.5,1530.1,1508.95,1538.42,2.3051,-2.04,day_end
2022-04-18,long,1494.0,1485.38,1509.46,1485.38,-1.7944,-10.0582,stop
2022-04-20,long,1456.2,1447.33,1476.74,1447.33,-2.3172,-10.3056,stop
2022-04-26,long,1356.0,1341.39,1411.13,1341.39,-3.774,-16.0481,stop
2022-04-28,short,1399.3,1392.6,1373.86,1415.92,1.5311,5.26,day_end
2022-05-09,long,1353.1,1336.53,1382.48,1336.53,-1.7725,-18.0136,stop
2022-05-10,long,1298.0,1337.27,1337.27,1280.22,-2.2087,37.8253,target
2022-05-13,long,1273.7,1253.72,1311.24,1253.72,-1.8789,-21.4176,stop
2022-05-16,long,1238.1,1217.8,1269.76,1217.8,-1.5594,-21.7412,stop
2022-05-17,long,1219.7,1245.71,1245.71,1199.11,-1.2631,24.5676,target
2022-05-18,short,1280.3,1280.2,1232.85,1304.67,1.9473,-1.34,day_end
2022-06-13,long,1284.9,1265.11,1328.73,1265.11,-2.2146,-21.2299,stop
2022-06-17,long,1247.0,1230.89,1272.34,1230.89,-1.5732,-17.5491,stop
2022-07-28,short,1228.9,1232.1,1215.55,1238.34,1.4142,-4.64,day_end
2022-08-04,short,1255.6,1256.1,1245.84,1263.03,1.3145,-1.94,day_end
2022-08-11,short,1283.0,1271.59,1271.59,1288.92,1.9264,9.9699,target
2022-08-12,long,1267.6,1276.1,1282.51,1260.67,-2.1509,7.06,day_end
2022-08-15,short,1285.5,1293.05,1270.38,1293.05,2.0026,-8.9906,stop
2022-08-19,long,1292.0,1283.71,1308.35,1283.71,-1.972,-9.7296,stop
2022-08-22,long,1275.1,1274.7,1286.62,1266.49,-1.3385,-1.84,day_end
2022-08-24,short,1282.3,1287.5,1267.8,1291.53,1.5722,-6.64,day_end
