date,direction,entry_px,exit_px,target,stop_level,gap_z,pnl_pts,exit_reason
2024-01-16,long,1158.1,1170.0,1170.36,1150.19,-1.551,10.46,day_end
2024-01-17,short,1171.7,1165.1,1161.65,1179.69,1.2575,5.16,day_end
2024-01-19,short,1181.4,1187.8,1169.88,1189.48,1.4256,-7.84,day_end
2024-01-22,short,1194.5,1195.3,1184.36,1202.57,1.257,-2.24,day_end
2024-02-01,long,1168.6,1180.37,1180.37,1161.66,-1.6965,10.3299,target
2024-02-06,short,1201.7,1202.6,1190.85,1208.86,1.5145,-2.34,day_end
2024-02-15,short,1224.7,1218.7,1211.02,1232.35,1.7883,4.56,day_end
2024-02-26,long,1226.1,1229.6,1245.19,1218.81,-2.6201,2.06,day_end
2024-02-29,short,1266.2,1263.4,1248.36,1274.19,2.2317,1.36,day_end
2024-03-12,long,1232.3,1238.5,1249.6,1223.17,-1.8951,4.76,day_end
2024-03-14,short,1271.5,1261.2,1250.47,1281.3,2.1466,8.86,day_end
2024-03-21,short,1261.1,1271.9,1242.96,1271.9,1.6805,-12.2373,stop
2024-03-22,short,1285.6,1283.8,1268.08,1296.96,1.5425,0.36,day_end
2024-04-05,long,1253.2,1257.2,1274.76,1241.11,-1.7837,2.56,day_end
2024-04-11,long,1251.1,1261.5,1268.42,1240.07,-1.5711,8.96,day_end
2024-04-15,short,1281.7,1267.22,1267.22,1293.02,1.2801,13.0443,target
2024-04-16,long,1234.5,1219.94,1274.56,1219.94,-2.7519,-15.9965,stop
2024-04-19,long,1201.4,1198.4,1226.14,1186.55,-1.6662,-4.44,day_end
2024-05-20,short,1314.9,1313.4,1304.27,1322.88,1.3313,0.06,day_end
2024-05-23,long,1289.7,1283.41,1301.21,1283.41,-1.83,-7.7271,stop
2024-05-27,long,1279.7,1278.4,1291.38,1272.59,-1.6428,-2.74,day_end
2024-05-30,long,1268.8,1260.55,1285.66,1260.55,-2.0425,-9.6937,stop
2024-06-03,short,1283.0,1291.14,1271.52,1291.14,1.4104,-9.5781,stop
2024-06-10,short,1314.0,1309.0,1303.48,1322.39,1.2543,3.56,day_end
2024-06-13,short,1330.7,1337.0,1308.17,1340.22,2.3673,-7.74,day_end
2024-06-17,long,1315.1,1309.5,1332.32,1304.89,-1.686,-7.04,day_end
2024-07-22,long,1293.0,1304.27,1304.27,1286.8,-1.8182,9.8252,target
2024-07-24,long,1283.3,1276.23,1299.2,1276.23,-2.2494,-8.5106,stop
2024-07-29,short,1290.0,1289.4,1279.02,1297.09,1.5481,-0.84,day_end
2024-08-02,long,1266.2,1256.34,1296.59,1256.34,-3.0837,-11.2966,stop
2024-09-04,long,1320.4,1314.69,1331.38,1314.69,-1.9228,-7.1504,stop
2024-09-06,long,1307.1,1309.1,1314.91,1301.39,-1.3669,0.56,day_end
2024-09-09,long,1299.2,1308.7,1308.7,1293.01,-1.5349,8.0573,target
2024-09-11,long,1293.7,1286.95,1305.88,1286.95,-1.8047,-8.1908,stop
2024-09-12,short,1300.3,1299.6,1290.95,1307.23,1.3491,-0.74,day_end
2024-09-17,long,1282.9,1291.89,1291.89,1275.75,-1.2569,7.5524,target
2024-09-18,short,1305.1,1313.1,1286.09,1313.1,2.3763,-9.441,stop
2024-09-20,short,1329.1,1337.56,1315.57,1337.56,1.5984,-9.9049,stop
2024-10-02,long,1354.0,1358.1,1368.23,1345.06,-1.5917,2.66,day_end
2024-10-04,long,1351.7,1344.8,1365.82,1342.35,-1.5097,-8.34,day_end
2024-10-10,short,1362.8,1371.56,1349.14,1371.56,1.5597,-10.1954,stop
2024-10-18,short,1374.5,1368.2,1354.1,1383.39,2.2951,4.86,day_end
2024-11-07,short,1341.8,1334.1,1329.13,1349.89,1.5661,6.26,day_end
2024-11-15,long,1292.2,1285.49,1303.49,1285.49,-1.6832,-8.149,stop
2024-11-18,long,1271.8,1264.78,1284.2,1264.78,-1.7668,-8.4607,stop
2024-11-22,short,1294.0,1294.5,1271.12,1302.55,2.676,-1.94,day_end
2024-12-02,short,1322.6,1310.4,1310.4,1331.43,1.3825,10.7612,target
2024-12-06,short,1343.0,1341.5,1313.07,1353.66,2.8068,0.06,day_end
2024-12-19,long,1316.2,1312.5,1331.25,1306.08,-1.488,-5.14,day_end
2025-01-06,long,1324.2,1321.2,1335.57,1318.12,-1.8713,-4.44,day_end
2025-01-13,long,1287.6,1298.0,1311.02,1279.65,-2.9443,8.96,day_end
2025-02-14,short,1345.6,1342.5,1332.12,1353.92,1.6217,1.66,day_end
2025-02-25,short,1366.6,1361.8,1356.25,1372.81,1.6672,3.36,day_end
2025-03-03,short,1362.6,1361.2,1354.76,1368.37,1.3591,-0.04,day_end
2025-03-05,short,1365.7,1371.61,1357.79,1371.61,1.3383,-7.354,stop
2025-03-10,short,1387.4,1393.33,1377.33,1393.33,1.6979,-7.3713,stop
2025-03-11,long,1379.4,1389.5,1390.56,1372.8,-1.6919,8.66,day_end
2025-03-12,short,1394.4,1390.5,1381.87,1401.35,1.8018,2.46,day_end
2025-03-25,short,1391.1,1386.3,1375.62,1397.67,2.3551,3.36,day_end
2025-03-27,long,1374.8,1375.2,1386.12,1367.61,-1.5745,-1.04,day_end
2025-03-31,long,1357.0,1358.3,1370.19,1349.33,-1.719,-0.14,day_end
2025-04-03,long,1346.1,1336.69,1371.4,1336.69,-2.6896,-10.8481,stop
2025-04-04,long,1252.3,1236.51,1310.56,1236.51,-3.6892,-17.2318,stop
2025-04-09,long,1115.5,1203.68,1203.68,1091.21,-3.6297,86.7413,target
2025-04-10,short,1258.1,1260.4,1173.21,1289.91,2.6684,-3.74,day_end
2025-04-23,short,1314.6,1302.0,1270.79,1349.57,1.2529,11.16,day_end
2025-05-27,short,1417.3,1410.76,1410.76,1421.84,1.44,5.0984,target
2025-05-28,short,1420.9,1425.02,1413.62,1425.02,1.7676,-5.5572,stop
2025-05-29,short,1427.9,1421.71,1421.71,1432.05,1.4927,4.7486,target
2025-06-02,long,1411.0,1415.1,1419.31,1406.17,-1.7222,2.66,day_end
2025-06-13,long,1399.0,1393.85,1409.26,1393.85,-1.9917,-6.5908,stop
2025-06-20,long,1426.9,1421.86,1434.24,1421.86,-1.4555,-6.4814,stop
2025-06-24,short,1444.0,1449.7,1432.2,1449.7,2.0684,-7.1433,stop
2025-06-30,short,1468.0,1462.6,1460.83,1473.15,1.3925,3.96,day_end
2025-07-03,long,1459.6,1468.62,1468.62,1454.12,-1.6463,7.5758,target
2025-07-11,short,1571.8,1576.9,1563.36,1576.9,1.655,-6.5385,stop
2025-07-15,short,1605.6,1597.7,1597.7,1610.88,1.4957,6.4626,target
2025-07-23,short,1661.0,1653.0,1623.28,1670.15,4.1223,6.56,day_end
2025-08-05,short,1661.7,1648.55,1648.55,1671.19,1.3855,11.7103,target
2025-08-21,short,1834.8,1840.34,1822.27,1840.34,2.2611,-6.9819,stop
2025-08-25,short,1820.1,1811.39,1811.39,1825.86,1.5119,7.2672,target
2025-08-26,long,1776.0,1785.32,1785.32,1769.56,-1.447,7.8754,target
2025-08-27,short,1858.1,1865.11,1840.52,1865.11,2.5099,-8.4456,stop
2025-08-29,short,1867.8,1874.51,1858.49,1874.51,1.3871,-8.1529,stop
2025-09-05,short,1888.9,1877.39,1877.39,1895.62,1.7135,10.072,target
2025-09-08,long,1844.5,1837.14,1854.47,1837.14,-1.3544,-8.8,stop
2025-09-09,long,1801.3,1817.61,1817.61,1792.73,-1.9032,14.8655,target
2025-09-12,short,1856.8,1845.9,1845.9,1865.37,1.2716,9.4589,target
2025-09-16,short,1890.0,1871.94,1871.94,1899.11,1.981,16.6155,target
2025-10-08,short,1930.0,1912.52,1912.52,1936.79,2.5734,16.0404,target
2025-10-22,short,1908.0,1897.61,1897.61,1913.81,1.7905,8.9537,target
2025-10-23,short,1923.0,1913.16,1913.16,1928.98,1.6453,8.4033,target
2025-10-27,short,1952.0,1937.94,1937.94,1958.08,2.3129,12.6211,target
2025-10-28,long,1881.5,1901.08,1901.08,1873.53,-2.4577,18.1426,target
2025-10-29,short,1944.3,1952.49,1932.94,1952.49,1.3861,-9.6333,stop
2025-11-04,long,1855.1,1868.64,1868.64,1846.21,-1.5233,12.0968,target
2025-11-14,long,1853.0,1864.36,1864.36,1844.06,-1.2702,9.9181,target
2025-11-21,long,1875.5,1865.95,1897.21,1865.95,-2.272,-10.994,stop
2025-12-15,long,1868.6,1877.54,1877.54,1861.81,-1.318,7.5034,target
2025-12-17,short,1914.0,1905.06,1905.06,1921.03,1.2702,7.4956,target
2025-12-19,short,1911.9,1918.27,1894.11,1918.27,2.7933,-7.8102,stop
2025-12-22,short,1944.9,1951.54,1932.41,1951.54,1.8816,-8.0769,stop
2025-12-23,short,2002.0,2008.72,1992.67,2008.72,1.3888,-8.1557,stop
2025-12-26,long,1943.1,1977.12,1977.12,1932.45,-3.1949,32.5842,target
